ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
20/04/2024 23:34,16,4.25,1.269,25933,63.3,28.9,0.378,0.372,0.3605,63.39497509,28.87393073
20/04/2024 20:14,15.79,4.35,1.269,23835,63,28.2,0.378,0.372,0.3605,63.01440665,28.20752512
20/04/2024 12:24,16.2,4.25,1,23835,62.7,29,0.378,0.372,0.3605,64.03491957,29.03025689
19/04/2024 19:54,16.55,4.25,1.271,25387,61.7,27.6,0.378,0.347,0.375,62.59078734,27.60316642
19/04/2024 16:54,16.5,4.55,1.268,24224,63,27.5,0.378,0.347,0.375,64.48092002,27.46802603
19/04/2024 12:04,16.35,4.66,1.263,17359,65.2,29,0.378,0.347,0.375,66.66557217,29.02176745
16/04/2024 23:34,16.3,4.3,1.052,29066,57.6,27.7,0.345,0.377,0.37725,59.34199643,27.71890686
16/04/2024 19:44,16.44,4.35,1.283,28925,59.8,28.3,0.345,0.377,0.37725,59.78854551,28.31833782
16/04/2024 16:14,15.88,4.3,1.188,28841,57.4,28.1,0.345,0.377,0.37725,59.80841444,28.05559341
16/04/2024 03:44,16.45,4.2,1.288,30524,56.6,28.1,0.315,0.304,0.361,56.7055166,28.06840121
15/04/2024 19:34,14.6,4.25,1.286,31245,57.3,27.5,0.315,0.304,0.361,57.76465278,27.53462604
15/04/2024 16:14,16.3,4.15,1.284,31126,58.3,29.9,0.315,0.304,0.361,57.94083643,29.92631234
15/04/2024 11:34,16.55,4.05,1.292,31090,55.3,27.4,0.296,0.333,0.361,55.57549297,27.43048121
15/04/2024 08:54,16.54,4.25,1.294,30925,55.2,26.6,0.296,0.333,0.361,54.65100993,26.57701373
15/04/2024 03:54,16.63,4.35,1.294,31042,55.5,27.1,0.296,0.333,0.30475,54.05115422,27.1126286
14/04/2024 20:04,16.6,3.84,1.289,32047,56.4,26.7,0.296,0.333,0.30475,56.67241583,26.73750692
14/04/2024 14:44,16.38,4.25,1.274,30787,59.1,25.5,0.296,0.333,0.30475,60.03884365,25.47085202
14/04/2024 00:14,16.5,4.35,1.294,31032,55.5,27.7,0.296,0.3,0.3145,55.75791293,27.73462991
13/04/2024 20:24,16.3,4.2,1.287,30866,55.4,27.4,0.296,0.3,0.3145,57.97306462,28.08008074
13/04/2024 07:44,16.5,3.25,1.292,30958,55.4,27.4,0.3,0.34,0.299,56.02895595,27.41312741
13/04/2024 04:04,16.35,4.3,1.289,30579,55.4,22.8,0.3,0.34,0.299,54.94396183,22.77550215
12/04/2024 23:34,16.55,4.35,1.292,30255,55.7,27.9,0.3,0.34,0.299,55.88714143,27.94508009
12/04/2024 19:54,16.53,4.25,1.291,31096,55.9,27.9,0.3,0.34,0.299,55.71872052,27.9337946
12/04/2024 16:04,16.48,4.35,1.293,30144,55.5,27.6,0.3,0.34,0.299,55.80924478,27.58857143
12/04/2024 11:34,16.45,4.25,1.29,29872,55.9,28.2,0.374,0.38,0.299,55.84376228,28.14148648
12/04/2024 08:44,16.5,4.4,1.295,29872,54.7,27.6,0.374,0.38,0.299,54.67024682,27.61280758
11/04/2024 23:54,16.77,4.44,1.288,30210,57.4,28,0.374,0.38,0.3385,58.72838152,28.03087433
11/04/2024 16:44,16.5,4.5,1.282,30102,58.4,28.1,0.374,0.38,0.3385,60.32663773,28.10527442
11/04/2024 03:44,16.6,4.45,1.29,30054,56.6,28.5,0.511,0.507,0.377,58.09434644,28.49879583
11/04/2024 00:24,16,4.35,1.232,30248,58,28.7,0.511,0.507,0.377,59.85384847,28.64071069
10/04/2024 19:44,16,4.25,1.073,29255,57,28.8,0.511,0.507,0.377,56.11322962,28.80929061
10/04/2024 15:54,16.35,4.15,1.291,29515,59.1,28.5,0.511,0.507,0.377,58.95117858,28.46295336
10/04/2024 08:24,16.3,4.5,1.041,29471,55.1,27.2,0.491,0.488,0.377,55.77435887,27.17546691
10/04/2024 03:34,16.7,4.45,1.295,29488,55.3,28.4,0.491,0.488,0.504,55.45036042,28.37729816
09/04/2024 16:24,15.8,4.05,1.284,25558,58.5,27.6,0.491,0.488,0.504,58.50676545,27.60316642
09/04/2024 12:04,16.25,4.1,1.291,27852,59.4,27.6,0.53,0.488,0.504,56.8760699,27.5549806
09/04/2024 03:44,16.4,4.2,1.293,26879,55.6,27.2,0.53,0.504,0.49925,55.13478229,27.23870123
08/04/2024 19:44,16,4.05,1.284,28455,57.8,26.9,0.53,0.504,0.49925,57.04769219,26.93624503
08/04/2024 15:44,16.1,4.25,1.291,29635,57,27.2,0.53,0.504,0.49925,55.92157114,27.24172232
08/04/2024 11:34,16.3,4.35,1.293,28789,56.6,28,0.374,0.37,0.49925,55.04430175,27.95664057
08/04/2024 03:34,16.2,4.3,1.296,28955,55.2,28.5,0.374,0.37,0.478,54.21159861,28.53489222
07/04/2024 19:34,16.36,4.15,1.297,28302,54.2,27.8,0.374,0.37,0.478,55.54015765,27.82283787
07/04/2024 16:14,16.7,4.05,1.294,27601,55.5,27.2,0.374,0.37,0.478,56.11837845,27.23575357
07/04/2024 11:54,15.88,4.1,1.279,27601,57.4,26.5,0.523,0.519,0.478,59.32855304,26.51819062
06/04/2024 12:04,16.7,4.05,1.301,31352,52.6,27.1,0.454,0.447,0.40925,52.88036576,27.11544656
06/04/2024 07:34,16.8,4.45,1.299,30188,52.4,28.3,0.454,0.447,0.521,52.60084925,26.45962733
