Name,\\pi3\MKP_DT_40450,
Data Type,Float 32,
Number of Values,25401,
Time,Value,Value Attributes
10/12/2022 03:43:56.78,1.2838,
10/12/2022 03:42:45.39,1.2916,
10/12/2022 03:37:35.51,1.2962,
10/12/2022 03:36:31.33,1.2884,
10/12/2022 03:33:58.58,1.2917,
10/12/2022 03:29:24.40,1.2965,
10/12/2022 03:28:16.16,1.2887,
10/12/2022 03:25:45.37,1.2921,
10/12/2022 03:21:26.55,1.2969,
10/12/2022 03:19:33.41,1.2904,
10/12/2022 03:17:46.39,1.2844,
10/12/2022 03:16:44.27,1.2922,
10/12/2022 03:10:48.69,1.2954,
10/12/2022 03:09:40.38,1.2854,
10/12/2022 03:07:14.65,1.2933,
10/12/2022 03:03:32.68,1.2979,
10/12/2022 03:00:54.76,1.2901,
10/12/2022 02:59:03.82,1.2854,
10/12/2022 02:57:54.46,1.2917,
10/12/2022 02:54:10.39,1.2965,
10/12/2022 02:52:22.37,1.2901,
10/12/2022 02:50:33.48,1.284,
10/12/2022 02:49:22.09,1.2924,
10/12/2022 02:44:30.76,1.2954,
10/12/2022 02:42:20.28,1.2859,
10/12/2022 02:41:03.98,1.2923,
10/12/2022 02:35:56.28,1.2954,
10/12/2022 02:34:53.09,1.2857,
10/12/2022 02:32:14.18,1.2922,
10/12/2022 02:28:22.86,1.2967,
10/12/2022 02:25:54.11,1.2869,
10/12/2022 02:23:05.06,1.2919,
10/12/2022 02:17:49.16,1.2964,
10/12/2022 02:15:59.02,1.2854,
10/12/2022 02:13:18.96,1.2919,
10/12/2022 02:08:10.26,1.2949,
10/12/2022 02:07:09.13,1.2871,
10/12/2022 02:04:42.43,1.2919,
10/12/2022 02:01:24.78,1.2966,
10/12/2022 01:59:29.54,1.2905,
10/12/2022 01:57:13.90,1.2919,
10/12/2022 01:52:10.44,1.295,
10/12/2022 01:50:22.50,1.2826,
10/12/2022 01:48:38.62,1.2921,
10/12/2022 01:44:35.08,1.2952,
10/12/2022 01:41:54.17,1.289,
10/12/2022 01:39:25.38,1.2966,
10/12/2022 01:35:33.04,1.2887,
10/12/2022 01:33:39.88,1.284,
10/12/2022 01:32:24.48,1.2936,
10/12/2022 01:27:47.41,1.2952,
10/12/2022 01:26:36.13,1.2856,
10/12/2022 01:24:09.46,1.2904,
10/12/2022 01:19:33.37,1.2953,
10/12/2022 01:18:28.11,1.2875,
10/12/2022 01:15:56.33,1.2906,
10/12/2022 01:10:07.86,1.2952,
10/12/2022 01:08:44.24,1.2872,
10/12/2022 01:07:03.32,1.2825,
10/12/2022 01:05:42.82,1.2904,
10/12/2022 01:00:49.58,1.295,
10/12/2022 00:59:39.21,1.287,
10/12/2022 00:57:05.26,1.2901,
10/12/2022 00:51:19.79,1.2949,
10/12/2022 00:50:05.37,1.2887,
10/12/2022 00:48:11.24,1.2824,
10/12/2022 00:46:51.77,1.2903,
10/12/2022 00:41:39.00,1.295,
10/12/2022 00:40:14.44,1.2856,
10/12/2022 00:37:37.46,1.2903,
10/12/2022 00:32:48.10,1.2934,
10/12/2022 00:29:14.15,1.2903,
10/12/2022 00:24:06.44,1.2949,
10/12/2022 00:22:55.11,1.2871,
10/12/2022 00:20:32.37,1.2825,
10/12/2022 00:19:28.17,1.2904,
10/12/2022 00:14:48.93,1.295,
10/12/2022 00:12:55.84,1.2854,
10/12/2022 00:10:11.79,1.2902,
10/12/2022 00:04:42.61,1.2948,
10/12/2022 00:03:10.83,1.2872,
10/12/2022 00:00:39.98,1.2825,
09/12/2022 23:58:30.38,1.2956,
09/12/2022 23:53:42.04,1.2878,
09/12/2022 23:51:51.98,1.2831,
09/12/2022 23:50:45.78,1.2896,
09/12/2022 23:44:18.54,1.2943,
09/12/2022 23:42:56.00,1.2863,
09/12/2022 23:40:46.65,1.2803,
09/12/2022 23:39:35.27,1.2898,
09/12/2022 23:34:36.50,1.2931,
09/12/2022 23:33:36.37,1.2868,
09/12/2022 23:31:09.65,1.2884,
09/12/2022 23:28:19.57,1.2945,
09/12/2022 23:26:11.15,1.2884,
09/12/2022 23:23:44.42,1.2899,
09/12/2022 23:18:08.17,1.2945,
09/12/2022 23:17:04.01,1.2885,
09/12/2022 23:15:42.41,1.2807,
09/12/2022 23:13:13.80,1.2898,
09/12/2022 23:09:11.29,1.2945,
09/12/2022 23:07:09.05,1.2883,
09/12/2022 23:05:10.77,1.2804,
09/12/2022 23:03:43.15,1.2914,
09/12/2022 22:57:32.29,1.2864,
09/12/2022 22:55:50.41,1.2803,
09/12/2022 22:54:32.99,1.2883,
09/12/2022 22:52:07.99,1.2944,
09/12/2022 22:48:10.24,1.2867,
09/12/2022 22:46:03.84,1.2819,
09/12/2022 22:44:45.31,1.2897,
09/12/2022 22:40:40.50,1.2944,
09/12/2022 22:39:34.30,1.0251,
